name,birth_date,birth_card,enwiki_views_8mo,slug
Ella Rubin,2001-09-02,9♦,606489,ella-rubin-birth-card
Mike Vrabel,1975-08-14,Q♣,606238,mike-vrabel-birth-card
Kevin Warsh,1970-04-13,8♦,606059,kevin-warsh-birth-card
Ludwig Göransson,1984-09-01,10♦,605015,ludwig-göransson-birth-card
Karolína Muchová,1996-08-21,5♣,603857,karolína-muchová-birth-card
Jennifer Jason Leigh,1962-02-05,7♠,603404,jennifer-jason-leigh-birth-card
Landon Donovan,1982-03-04,6♠,603231,landon-donovan-birth-card
Haley Stevens,1983-06-24,6♣,602879,haley-stevens-birth-card
Emily Rudd,1993-02-24,A♦,600979,emily-rudd-birth-card
Charlie Hunnam,1980-04-10,J♦,598019,charlie-hunnam-birth-card
Ajay Ahuja,1964-05-22,10♣,598008,ajay-ahuja-birth-card
Scottie Scheffler,1996-06-21,9♣,597991,scottie-scheffler-birth-card
Justin Rose,1980-07-30,J♥,592967,justin-rose-birth-card
Eric Adams,1960-09-01,10♦,592810,eric-adams-birth-card
Megyn Kelly,1970-11-18,2♣,590923,megyn-kelly-birth-card
"Edward Guinness, 1st Earl of Iveagh",1847-11-10,10♣,590687,edward-guinness-1st-earl-of-iveagh-birth-card
Matthias Jaissle,1988-04-05,3♠,590504,matthias-jaissle-birth-card
Whitney Houston,1963-08-09,4♦,590389,whitney-houston-birth-card
Jacob Batalon,1996-10-09,K♣,589083,jacob-batalon-birth-card
Khabib Nurmagomedov,1988-09-20,4♣,588233,khabib-nurmagomedov-birth-card
Sarah Pidgeon,1996-07-07,8♦,587928,sarah-pidgeon-birth-card
Dean Potter,1972-04-14,7♦,587888,dean-potter-birth-card
Fred Trump,1905-10-11,J♣,587877,fred-trump-birth-card
Aldon Smith,1989-09-25,Q♥,587236,aldon-smith-birth-card
Khamzat Chimaev,1994-05-01,5♠,586877,khamzat-chimaev-birth-card
Delta Goodrem,1984-11-09,J♣,586855,delta-goodrem-birth-card
Law Roach,1978-07-20,8♣,586766,law-roach-birth-card
Rob Reiner,1947-03-06,4♠,585806,rob-reiner-birth-card
Chris Cornell,1964-07-20,8♣,585142,chris-cornell-birth-card
Odessa A'zion,2000-06-17,K♣,584690,odessa-azion-birth-card
Yungblud,1997-08-05,8♦,584593,yungblud-birth-card
Ivanka Trump,1981-10-30,5♥,584477,ivanka-trump-birth-card
PinkPantheress,2001-04-19,2♦,583585,pinkpantheress-birth-card
Charlie Chaplin,1889-04-16,5♦,581268,charlie-chaplin-birth-card
Andrea Yates,1964-07-02,K♦,581199,andrea-yates-birth-card
Ryan Fox,1987-01-22,5♦,580871,ryan-fox-birth-card
Nancy Mace,1977-12-04,A♦,580543,nancy-mace-birth-card
Madeleine Stowe,1958-08-18,8♣,580217,madeleine-stowe-birth-card
Edmund Kemper,1948-12-18,K♥,577932,edmund-kemper-birth-card
Harmanpreet Kaur,1989-03-08,2♠,577678,harmanpreet-kaur-birth-card
Sheikh Hasina,1947-09-28,9♥,577567,sheikh-hasina-birth-card
Jason Collins,1978-12-02,3♦,576926,jason-collins-birth-card
Charli XCX,1992-08-02,J♦,575218,charli-xcx-birth-card
Amanda Seyfried,1985-12-03,2♦,574660,amanda-seyfried-birth-card
Colin Jost,1982-06-29,A♣,573496,colin-jost-birth-card
Brenda Fricker,1945-02-17,8♦,569084,brenda-fricker-birth-card
Bonnie Blue,1999-05-14,5♦,568940,bonnie-blue-birth-card
Sam Levinson,1985-01-08,6♠,568880,sam-levinson-birth-card
Jessica Pegula,1994-02-24,A♦,568101,jessica-pegula-birth-card
Yami Gautam,1988-11-28,5♥,567772,yami-gautam-birth-card
Robin Wright,1966-04-08,K♦,567490,robin-wright-birth-card
Maduka Okoye,1999-08-28,J♥,566999,maduka-okoye-birth-card
Max Holloway,1991-12-04,A♦,566987,max-holloway-birth-card
Josh Heuston,1996-11-18,2♣,566902,josh-heuston-birth-card
Haakon VIII,1973-07-20,8♣,566748,haakon-viii-birth-card
Antoine Semenyo,2000-01-07,7♠,565991,antoine-semenyo-birth-card
"Mary, Queen of Scots",1542-12-08,10♣,565474,mary-queen-of-scots-birth-card
Marisa Tomei,1964-12-04,A♦,565439,marisa-tomei-birth-card
Stephen Hawking,1942-01-08,6♠,562499,stephen-hawking-birth-card
Martin Scorsese,1942-11-17,3♣,561300,martin-scorsese-birth-card
Alan Greenspan,1926-03-06,4♠,560929,alan-greenspan-birth-card
Javier Hernández,1988-06-01,3♠,560711,javier-hernández-birth-card
Pete Davidson,1993-11-16,4♣,559356,pete-davidson-birth-card
Jamie Bell,1986-03-14,9♦,558039,jamie-bell-birth-card
Aymeric Laporte,1994-05-27,5♣,557641,aymeric-laporte-birth-card
Josh Duhamel,1972-11-14,6♣,557170,josh-duhamel-birth-card
Rosalía,1992-09-25,Q♥,557000,rosalía-birth-card
Benito Mussolini,1883-07-29,Q♥,556884,benito-mussolini-birth-card
Tim Ream,1987-10-05,4♦,556572,tim-ream-birth-card
Mark Bellingham,1976-03-07,3♠,556456,mark-bellingham-birth-card
Jonathan David,2000-01-14,K♦,554924,jonathan-david-birth-card
Ørjan Nyland,1990-09-10,A♦,554841,ørjan-nyland-birth-card
Elizabeth Olsen,1989-02-16,9♦,554375,elizabeth-olsen-birth-card
Philip Seymour Hoffman,1967-07-23,5♣,553119,philip-seymour-hoffman-birth-card
Michael Hutchence,1960-01-22,5♦,552809,michael-hutchence-birth-card
Ezri Konsa,1997-10-23,Q♥,552748,ezri-konsa-birth-card
Riz Ahmed,1982-12-01,4♦,551383,riz-ahmed-birth-card
Monica Witt,1979-04-08,K♦,551088,monica-witt-birth-card
Roscoe Conkling,1829-10-30,5♥,549468,roscoe-conkling-birth-card
Stella Parton,1949-05-04,2♠,548873,stella-parton-birth-card
Ivana Trump,1949-02-20,5♦,548631,ivana-trump-birth-card
Amy Redford,1970-10-22,K♥,545805,amy-redford-birth-card
Ron Harper,1964-01-20,7♦,545353,ron-harper-birth-card
Dani Olmo,1998-05-07,Q♦,544931,dani-olmo-birth-card
Nabil Gabol,1962-11-16,4♣,544645,nabil-gabol-birth-card
Nicki Nicole,2000-08-25,A♣,543739,nicki-nicole-birth-card
Ben Sasse,1972-02-22,3♦,543237,ben-sasse-birth-card
Ben Shapiro,1984-01-15,Q♦,541494,ben-shapiro-birth-card
Randolph Mantooth,1945-09-19,5♣,540974,randolph-mantooth-birth-card
Jessica Alba,1981-04-28,6♣,540947,jessica-alba-birth-card
Nicolás Maduro,1962-11-23,10♥,540494,nicolás-maduro-birth-card
C. P. Radhakrishnan,1957-05-04,2♠,540206,c-p-radhakrishnan-birth-card
Amy Hunt,2002-05-15,4♦,539953,amy-hunt-birth-card
Woody Harrelson,1961-07-23,5♣,539795,woody-harrelson-birth-card
Andrey Santos,2004-05-03,3♠,537098,andrey-santos-birth-card
George Michael,1963-06-25,5♣,536282,george-michael-birth-card
Daniel Craig,1968-03-02,8♠,533138,daniel-craig-birth-card
Catherine Zeta-Jones,1969-09-25,Q♥,532192,catherine-zeta-jones-birth-card
Paddy Pimblett,1995-01-03,J♠,531313,paddy-pimblett-birth-card
Brooke Mueller,1977-08-19,7♣,529156,brooke-mueller-birth-card
George Harrison,1943-02-25,K♣,528305,george-harrison-birth-card
Matt Smith,1982-10-28,7♥,528190,matt-smith-birth-card
Ringo Starr,1940-07-07,8♦,527936,ringo-starr-birth-card
James Franco,1978-04-19,2♦,527155,james-franco-birth-card
Giovanni Reyna,2002-11-13,7♣,526686,giovanni-reyna-birth-card
Ben Roberts-Smith,1978-11-01,6♦,526399,ben-roberts-smith-birth-card
Theo Von,1980-03-19,4♦,526062,theo-von-birth-card
Christian Bale,1974-01-30,10♣,525810,christian-bale-birth-card
Rupert Lowe,1957-10-31,4♥,525718,rupert-lowe-birth-card
Julie Andrews,1935-10-01,8♦,525644,julie-andrews-birth-card
Jamie Campbell Bower,1988-11-22,J♥,525394,jamie-campbell-bower-birth-card
Travis Barker,1975-11-14,6♣,525393,travis-barker-birth-card
Huw Edwards,1961-08-18,8♣,524390,huw-edwards-birth-card
"Prince Philip, Duke of Edinburgh",1921-06-10,7♦,523406,prince-philip-duke-of-edinburgh-birth-card
Todd Blanche,1974-08-06,7♦,520289,todd-blanche-birth-card
Morgan Freeman,1937-06-01,3♠,518179,morgan-freeman-birth-card
Audrey Hepburn,1929-05-04,2♠,515058,audrey-hepburn-birth-card
Charlotte of Mecklenburg-Strelitz,1744-05-19,K♣,514216,charlotte-of-mecklenburg-strelitz-birth-card
Diana Ross,1944-03-26,10♣,514121,diana-ross-birth-card
S. Venkitaramanan,1931-01-28,Q♣,512897,s-venkitaramanan-birth-card
Lena Waithe,1984-05-17,2♦,512128,lena-waithe-birth-card
Mikel Merino,1996-06-22,8♣,511852,mikel-merino-birth-card
David Wilcock,1973-03-08,2♠,511820,david-wilcock-birth-card
Dennis Quaid,1954-04-09,Q♦,511582,dennis-quaid-birth-card
Meg White,1974-12-10,8♣,509464,meg-white-birth-card
Tilak Varma,2002-11-08,Q♣,507773,tilak-varma-birth-card
Paul Anthony Kelly,1988-10-01,8♦,506119,paul-anthony-kelly-birth-card
Brigitte Macron,1953-04-13,8♦,505859,brigitte-macron-birth-card
Emma Myers,2002-04-02,6♠,505602,emma-myers-birth-card
Kelly Preston,1962-10-13,9♣,505466,kelly-preston-birth-card
Kaley Cuoco,1985-11-30,3♥,505163,kaley-cuoco-birth-card
Lauren Betts,2003-10-15,7♣,504885,lauren-betts-birth-card
Betty Broderick,1947-11-07,K♣,504796,betty-broderick-birth-card
Jürgen Klopp,1967-06-16,A♦,504585,jürgen-klopp-birth-card
Abhishek Sharma,2000-09-04,7♦,503681,abhishek-sharma-birth-card
Morgan Rogers,2002-07-26,2♣,503589,morgan-rogers-birth-card
Brian Madjo,2009-01-12,2♠,502532,brian-madjo-birth-card
Chloë Grace Moretz,1997-02-10,2♠,502378,chloë-grace-moretz-birth-card
Tom Kane,1962-04-15,6♦,502118,tom-kane-birth-card
Jack Osbourne,1985-11-08,Q♣,502088,jack-osbourne-birth-card
Jackson Koivun,2005-05-23,9♣,501428,jackson-koivun-birth-card
Igor Tudor,1978-04-16,5♦,500056,igor-tudor-birth-card
Channing Tatum,1980-04-26,8♣,499467,channing-tatum-birth-card
Phoebe Bridgers,1994-08-17,9♣,498508,phoebe-bridgers-birth-card
George Clooney,1961-05-06,K♦,496296,george-clooney-birth-card
Neil Sedaka,1939-03-13,10♦,495403,neil-sedaka-birth-card
Hugh Dancy,1975-06-19,J♣,495193,hugh-dancy-birth-card
Richard Branson,1950-07-18,10♣,493615,richard-branson-birth-card
Matt Prater,1984-08-10,3♦,493012,matt-prater-birth-card
Lizzie Borden,1860-07-19,9♣,492554,lizzie-borden-birth-card
Kajal Aggarwal,1985-06-19,J♣,491506,kajal-aggarwal-birth-card
Beau Garrett,1982-12-28,3♥,491025,beau-garrett-birth-card
Bill Belichick,1952-04-16,5♦,490584,bill-belichick-birth-card
Flavio Cobolli,2002-05-06,K♦,486566,flavio-cobolli-birth-card
Neil Armstrong,1930-08-05,8♦,486406,neil-armstrong-birth-card
Kenny Rogers,1938-08-21,5♣,486231,kenny-rogers-birth-card
Nancy Pelosi,1940-03-26,10♣,484271,nancy-pelosi-birth-card
Ilhan Omar,1982-10-04,5♦,482329,ilhan-omar-birth-card
Charles De Ketelaere,2001-03-10,K♦,480772,charles-de-ketelaere-birth-card
Maggie Gyllenhaal,1977-11-16,4♣,479951,maggie-gyllenhaal-birth-card
Miroslav Klose,1978-06-09,8♦,479326,miroslav-klose-birth-card
Destin Daniel Cretton,1978-11-23,10♥,479312,destin-daniel-cretton-birth-card
Thibaut Courtois,1992-05-11,8♦,478827,thibaut-courtois-birth-card
Gianluigi Donnarumma,1999-02-25,K♣,478656,gianluigi-donnarumma-birth-card
Angryginge,2001-11-13,7♣,477955,angryginge-birth-card
Janet Sheen,1944-07-08,7♦,477779,janet-sheen-birth-card
Max Scherzer,1984-07-27,A♣,476572,max-scherzer-birth-card
Bill Oddie,1941-07-07,8♦,476260,bill-oddie-birth-card
Rose Byrne,1979-07-24,4♣,475750,rose-byrne-birth-card
Son Heung-min,1992-07-08,7♦,475541,son-heung-min-birth-card
Ruby Rose,1986-03-20,3♦,475533,ruby-rose-birth-card
Murat Yakin,1974-09-15,9♣,474796,murat-yakin-birth-card
Russell Wilson,1988-11-29,4♥,474626,russell-wilson-birth-card
Parvati Shallow,1982-09-21,3♣,474540,parvati-shallow-birth-card
Royce White,1991-04-10,J♦,474450,royce-white-birth-card
Maithili Thakur,2000-07-25,3♣,474015,maithili-thakur-birth-card
Dan Burn,1992-05-09,10♦,472511,dan-burn-birth-card
Jesse Jackson,1941-10-08,A♦,471896,jesse-jackson-birth-card
James Watson,1928-04-06,2♠,471578,james-watson-birth-card
Pervez Musharraf,1943-08-11,2♦,471548,pervez-musharraf-birth-card
Robo Shankar,1958-12-24,7♥,470513,robo-shankar-birth-card
Calista Flockhart,1964-11-11,9♣,468430,calista-flockhart-birth-card
James Comey,1960-12-14,4♣,468289,james-comey-birth-card
Giuliano Simeone,2002-12-18,K♥,468205,giuliano-simeone-birth-card
Lina Medina,1933-09-23,A♣,467759,lina-medina-birth-card
Drake Maye,2002-08-30,9♥,467454,drake-maye-birth-card
Jemimah Rodrigues,2000-09-05,6♦,467387,jemimah-rodrigues-birth-card
Nina Dobrev,1989-01-09,5♠,467296,nina-dobrev-birth-card
Rico Verhoeven,1989-04-10,J♦,466655,rico-verhoeven-birth-card
Udo Kier,1944-10-14,8♣,466580,udo-kier-birth-card
Tom Stoppard,1937-07-03,Q♦,465781,tom-stoppard-birth-card
Penelope Keith,1940-04-02,6♠,463481,penelope-keith-birth-card
Lata Mangeshkar,1929-09-28,9♥,462730,lata-mangeshkar-birth-card
Mackenyu,1996-11-16,4♣,461945,mackenyu-birth-card
Bobby Cannavale,1970-05-03,3♠,461362,bobby-cannavale-birth-card
Hilaria Baldwin,1984-01-06,8♠,458969,hilaria-baldwin-birth-card
Paul Newman,1925-01-26,A♦,458962,paul-newman-birth-card
Ratko Mladić,1943-03-12,J♦,458927,ratko-mladić-birth-card
Vinod Khosla,1955-01-28,Q♣,458083,vinod-khosla-birth-card
Tejashwi Yadav,1988-11-09,J♣,457374,tejashwi-yadav-birth-card
Alphonso Davies,2000-11-02,5♦,456123,alphonso-davies-birth-card
Tom Pelphrey,1982-07-28,K♥,456117,tom-pelphrey-birth-card
Mamitha Baiju,2001-06-22,8♣,454542,mamitha-baiju-birth-card
Agnez Mo,1986-07-01,A♠,453941,agnez-mo-birth-card
Kaia Gerber,2001-09-03,8♦,453246,kaia-gerber-birth-card
Aaron Hernandez,1989-11-06,A♦,452429,aaron-hernandez-birth-card
Lalu Prasad Yadav,1948-06-11,6♦,452180,lalu-prasad-yadav-birth-card
Jeff Goldblum,1952-10-22,K♥,452013,jeff-goldblum-birth-card
Aneet Padda,2002-10-13,9♣,450277,aneet-padda-birth-card
Tadej Pogačar,1998-09-21,3♣,450248,tadej-pogačar-birth-card
George Floyd,1973-10-14,8♣,448900,george-floyd-birth-card
Billy Crudup,1968-07-08,7♦,448642,billy-crudup-birth-card
Brett James,1968-06-05,Q♦,447716,brett-james-birth-card
Ulysses S. Grant,1822-04-27,7♣,447074,ulysses-s-grant-birth-card
Arvid Lindblad,2007-08-08,5♦,446829,arvid-lindblad-birth-card
Matthew Dowd,1961-05-29,3♣,446690,matthew-dowd-birth-card
Aamir Khan,1965-03-14,9♦,446569,aamir-khan-birth-card
Vince Gilligan,1967-02-10,2♠,446170,vince-gilligan-birth-card
Taylor Momsen,1993-07-26,2♣,445738,taylor-momsen-birth-card
Savannah Guthrie,1971-12-27,4♥,444840,savannah-guthrie-birth-card
Ken Paxton,1962-12-23,8♥,444752,ken-paxton-birth-card
Mick Jagger,1943-07-26,2♣,443465,mick-jagger-birth-card
James Harden,1989-08-26,K♥,443423,james-harden-birth-card
Arslanbek Makhmudov,1989-06-07,10♦,443343,arslanbek-makhmudov-birth-card
Claudia Cardinale,1938-04-15,6♦,442392,claudia-cardinale-birth-card
Pedro Porro,1999-09-13,J♣,441847,pedro-porro-birth-card
Richard Simmons,1948-07-12,3♦,441385,richard-simmons-birth-card
Anthony Hopkins,1937-12-31,Joker,441038,anthony-hopkins-birth-card
Martin Luther King Jr.,1929-01-15,Q♦,439710,martin-luther-king-jr-birth-card
Karen Carpenter,1950-03-02,8♠,439638,karen-carpenter-birth-card
Randy Parton,1953-12-15,3♣,437516,randy-parton-birth-card
Christian Eriksen,1992-02-14,J♦,437226,christian-eriksen-birth-card
Tyler James Robinson,2003-04-16,5♦,435624,tyler-james-robinson-birth-card
Kim Mu-yeol,1982-05-22,10♣,435011,kim-mu-yeol-birth-card
Fernando Mendoza,2003-10-01,8♦,434602,fernando-mendoza-birth-card
Yayoi Kusama,1929-03-22,A♦,434288,yayoi-kusama-birth-card
Mark Kelly,1964-02-21,4♦,433364,mark-kelly-birth-card
Frankie Muniz,1985-12-05,K♣,433163,frankie-muniz-birth-card
Arielle Kebbel,1985-02-19,6♦,433148,arielle-kebbel-birth-card
Jasprit Bumrah,1993-12-06,Q♣,432581,jasprit-bumrah-birth-card
Ismaël Koné,2002-06-16,A♦,431680,ismaël-koné-birth-card
Bill Pullman,1953-12-17,A♣,431608,bill-pullman-birth-card
Jack Della Maddalena,1996-09-10,A♦,430659,jack-della-maddalena-birth-card
Evie Templeton,2008-12-31,Joker,427825,evie-templeton-birth-card
Lee Chae-min,2000-09-15,9♣,427219,lee-chae-min-birth-card
Unai Emery,1971-11-03,4♦,426617,unai-emery-birth-card
Vijay Deverakonda,1989-05-09,10♦,426348,vijay-deverakonda-birth-card
Ted Danson,1947-12-29,2♥,426301,ted-danson-birth-card
Mithali Raj,1982-12-03,2♦,424276,mithali-raj-birth-card
Carmelo Anthony,1984-05-29,3♣,424274,carmelo-anthony-birth-card
Sunny Deol,1956-10-19,3♣,424260,sunny-deol-birth-card
Carlos Queiroz,1953-03-01,9♠,424238,carlos-queiroz-birth-card
Teja Sajja,1995-08-23,3♣,423529,teja-sajja-birth-card
Hailey Bieber,1996-11-22,J♥,422967,hailey-bieber-birth-card
Gavin Casalegno,1999-09-02,9♦,422850,gavin-casalegno-birth-card
Peter Sarsgaard,1971-03-07,3♠,422627,peter-sarsgaard-birth-card
Kuku Kohli,1949-06-04,K♦,421681,kuku-kohli-birth-card
Coco Gauff,2004-03-13,10♦,421126,coco-gauff-birth-card
Dolores Huerta,1930-04-10,J♦,420685,dolores-huerta-birth-card
Tim Cook,1960-11-01,6♦,420113,tim-cook-birth-card
Corey Haim,1971-12-23,8♥,419960,corey-haim-birth-card
John Alderton,1940-11-27,6♥,419572,john-alderton-birth-card
Dick Advocaat,1947-09-27,10♥,418297,dick-advocaat-birth-card
Douglas Kelley,1912-08-11,2♦,417806,douglas-kelley-birth-card
Richard Speck,1941-12-06,Q♣,417564,richard-speck-birth-card
Kyle Chandler,1965-09-17,7♣,417535,kyle-chandler-birth-card
Todd Snider,1966-10-11,J♣,417441,todd-snider-birth-card
Rodrigo De Paul,1994-05-24,8♣,416084,rodrigo-de-paul-birth-card
Charithra Chandran,1997-01-17,10♦,415092,charithra-chandran-birth-card
Emma Raducanu,2002-11-13,7♣,414490,emma-raducanu-birth-card
Scott Pelley,1957-07-28,K♥,414406,scott-pelley-birth-card
JRD Tata,1904-07-29,Q♥,414225,jrd-tata-birth-card
Joan Cusack,1962-10-11,J♣,414194,joan-cusack-birth-card
John Healey,1960-02-13,Q♦,414170,john-healey-birth-card
Francesco Schettino,1960-11-14,6♣,413624,francesco-schettino-birth-card
Crysencio Summerville,2001-10-30,5♥,413174,crysencio-summerville-birth-card
Dusty May,1976-12-30,A♥,413148,dusty-may-birth-card
Isaac Newton,1642-12-25,6♥,412966,isaac-newton-birth-card
Josh O'Connor,1990-05-20,Q♣,411968,josh-oconnor-birth-card
Bari Weiss,1984-03-25,J♣,410246,bari-weiss-birth-card
Sam Elliott,1944-08-09,4♦,409294,sam-elliott-birth-card
Yu Menglong,1988-06-15,2♦,409051,yu-menglong-birth-card
Pierson Fodé,1991-11-06,A♦,408714,pierson-fodé-birth-card
Alex Freeman,2004-08-09,4♦,408639,alex-freeman-birth-card
Kevin Hart,1979-07-06,9♦,408412,kevin-hart-birth-card
Virgil van Dijk,1991-07-08,7♦,408348,virgil-van-dijk-birth-card
Cailee Spaeny,1998-07-24,4♣,408148,cailee-spaeny-birth-card
Randy Jackson,1956-06-23,7♣,407806,randy-jackson-birth-card
Victoria Swarovski,1993-08-16,10♣,407573,victoria-swarovski-birth-card
Gracie Abrams,1999-09-07,4♦,406688,gracie-abrams-birth-card
Afrika Bambaataa,1957-04-17,4♦,406479,afrika-bambaataa-birth-card
Tej Pratap Yadav,1986-04-09,Q♦,404839,tej-pratap-yadav-birth-card
Sidny Lopes Cabral,2002-09-18,6♣,404078,sidny-lopes-cabral-birth-card
Keira Knightley,1985-03-26,10♣,402897,keira-knightley-birth-card
Taylor Kitsch,1981-04-08,K♦,402784,taylor-kitsch-birth-card
Christoph Waltz,1956-10-04,5♦,401910,christoph-waltz-birth-card
Michelle Dockery,1981-12-15,3♣,401908,michelle-dockery-birth-card
Uma Thurman,1970-04-29,5♣,400794,uma-thurman-birth-card
Charles Melton,1991-01-04,10♠,400677,charles-melton-birth-card
Jimmy Cliff,1944-07-30,J♥,400536,jimmy-cliff-birth-card
Jordan Staal,1988-09-10,A♦,400481,jordan-staal-birth-card
Felix Nmecha,2000-10-10,Q♣,400450,felix-nmecha-birth-card
Sepp Blatter,1936-03-10,K♦,399979,sepp-blatter-birth-card
Bill Pulte,1988-05-28,4♣,399380,bill-pulte-birth-card
Nithya Raman,1981-07-28,K♥,398766,nithya-raman-birth-card
Julian Nagelsmann,1987-07-23,5♣,397263,julian-nagelsmann-birth-card
Baker Mayfield,1995-03-14,9♦,396438,baker-mayfield-birth-card
Matt Beard,1978-01-09,5♠,395837,matt-beard-birth-card
Cameron Boozer,2007-07-18,10♣,395605,cameron-boozer-birth-card
Max Dowman,2009-12-31,Joker,395556,max-dowman-birth-card
Alicia Silverstone,1976-10-04,5♦,393543,alicia-silverstone-birth-card
Emily Head,1988-12-15,3♣,393153,emily-head-birth-card
Elijah Just,2000-05-01,5♠,392961,elijah-just-birth-card
Lucretia Garfield,1832-04-19,2♦,392564,lucretia-garfield-birth-card
Reza Shah,1878-03-15,8♦,392557,reza-shah-birth-card
Jarell Quansah,2003-01-29,J♣,392513,jarell-quansah-birth-card
Javier Milei,1970-10-22,K♥,392493,javier-milei-birth-card
Eve Hewson,1991-07-07,8♦,392019,eve-hewson-birth-card
Maxx Crosby,1997-08-22,4♣,392007,maxx-crosby-birth-card
Miranda Cosgrove,1993-05-14,5♦,391669,miranda-cosgrove-birth-card
Claudia Doumit,1992-04-21,K♣,391487,claudia-doumit-birth-card
Laura Dern,1967-02-10,2♠,390642,laura-dern-birth-card
Shona McGarty,1991-10-14,8♣,389650,shona-mcgarty-birth-card
Mikal Bridges,1996-08-30,9♥,389645,mikal-bridges-birth-card
Oba Femi,1998-04-22,Q♣,389327,oba-femi-birth-card
Will Ferrell,1967-07-16,Q♣,389025,will-ferrell-birth-card
Sunny Sandler,2008-11-02,5♦,388380,sunny-sandler-birth-card
Victoria,1819-05-24,8♣,0,victoria-birth-card
Franklin Delano Roosevelt,1882-01-30,10♣,0,franklin-delano-roosevelt-birth-card
Prince,1958-06-07,10♦,0,prince-birth-card
Carolyn Bessette-Kennedy,1966-01-07,7♠,0,carolyn-bessette-kennedy-birth-card
Wade Wilson,1994-05-20,Q♣,0,wade-wilson-birth-card
Henry VIII of England,1491-06-28,2♣,0,henry-viii-of-england-birth-card
Leo XIV,1955-09-14,10♣,0,leo-xiv-birth-card
Clavicular,2005-12-17,A♣,0,clavicular-birth-card
Vaibhav Suryavanshi,2011-03-27,9♣,0,vaibhav-suryavanshi-birth-card
Virginia Roberts Giuffre,1983-08-09,4♦,0,virginia-roberts-giuffre-birth-card
Ronaldo,1976-09-22,2♣,0,ronaldo-birth-card
Michael Johnston,1996-02-22,3♦,0,michael-johnston-birth-card
Marc Hagit Cucurella,1998-07-22,6♣,0,marc-hagit-cucurella-birth-card
Anthony Gordon,2001-02-24,A♦,0,anthony-gordon-birth-card
Mohammad Reza I of Iran,1919-10-26,9♥,0,mohammad-reza-i-of-iran-birth-card
Elizabeth I of England,1533-09-07,4♦,0,elizabeth-i-of-england-birth-card
Mark Kerr,1968-12-21,10♥,0,mark-kerr-birth-card
Graham Greene,1952-06-22,8♣,0,graham-greene-birth-card
Andrea Kimi Antonelli,2006-08-25,A♣,0,andrea-kimi-antonelli-birth-card
Mike Brown,1970-03-05,5♠,0,mike-brown-birth-card
James Norton,1985-07-18,10♣,0,james-norton-birth-card
Randy Jackson,1961-10-29,6♥,0,randy-jackson-birth-card
Harald V of Norway,1937-02-21,4♦,0,harald-v-of-norway-birth-card
Nick Robinson,1995-03-22,A♦,0,nick-robinson-birth-card
Prichard Colón jr,1992-09-19,5♣,0,prichard-colón-jr-birth-card
Kim Jong-un,1984-01-08,6♠,0,kim-jong-un-birth-card
Luis de la Fuente,1961-06-21,9♣,0,luis-de-la-fuente-birth-card
Mansoureh Khojaste Bagherzadeh,1947-05-23,9♣,0,mansoureh-khojaste-bagherzadeh-birth-card
James Redford,1962-05-05,A♠,0,james-redford-birth-card
Ian Garry,1997-11-17,3♣,0,ian-garry-birth-card
Mohammed bin Salman Al Saud,1985-08-31,8♥,0,mohammed-bin-salman-al-saud-birth-card
Balendra Shah,1990-04-27,7♣,0,balendra-shah-birth-card
Mohit Sharma,1978-01-13,A♠,0,mohit-sharma-birth-card
Dara,1998-09-09,2♦,0,dara-birth-card
Bill Montgomery,1940-05-29,3♣,0,bill-montgomery-birth-card
George III of Great Britain,1738-05-24,8♣,0,george-iii-of-great-britain-birth-card
Ajit Kumar Chogle,1945-01-20,7♦,0,ajit-kumar-chogle-birth-card
Chaudhry Aslam Khan,1963-04-10,J♦,0,chaudhry-aslam-khan-birth-card
Johan Bellingham,2005-09-23,A♣,0,johan-bellingham-birth-card
Pradeep Rawat,1952-06-17,K♣,0,pradeep-rawat-birth-card
Atique Ahmed,1962-08-10,3♦,0,atique-ahmed-birth-card
Luke Thompson,1988-07-04,J♦,0,luke-thompson-birth-card
Patrick Ball,1989-11-10,10♣,0,patrick-ball-birth-card
Víctor Muñoz,2003-07-13,2♦,0,víctor-muñoz-birth-card
Jose Alvarado,1998-04-12,9♦,0,jose-alvarado-birth-card
Autumn Durald,1979-12-14,4♣,0,autumn-durald-birth-card
Nestor Irankunda,2006-02-09,3♠,0,nestor-irankunda-birth-card
Erik Sullivan,1991-07-12,3♦,0,erik-sullivan-birth-card
Aitch,1999-12-09,9♣,0,aitch-birth-card
Ramón Estévez,1963-08-07,6♦,0,ramón-estévez-birth-card
Yash,1986-01-08,6♠,0,yash-birth-card
Rachel Dennison,1959-08-31,8♥,0,rachel-dennison-birth-card
Gary Mounfield,1962-11-16,4♣,0,gary-mounfield-birth-card
"Bajrakitiyabha, Princess Rajasarinisiribajra",1978-12-07,J♣,0,bajrakitiyabha-princess-rajasarinisiribajra-birth-card
Khadga Prasad Sharma Oli,1952-02-22,3♦,0,khadga-prasad-sharma-oli-birth-card
Tom Burke,1981-06-30,K♥,0,tom-burke-birth-card
Anthony Stanislas Radziwill,1959-08-04,9♦,0,anthony-stanislas-radziwill-birth-card
Alex Grant,1973-04-04,4♠,0,alex-grant-birth-card
Nathaniel Brown,2003-06-16,A♦,0,nathaniel-brown-birth-card
Renée Estévez,1967-04-02,6♠,0,renée-estévez-birth-card
Charlie Murphy,1959-07-12,3♦,0,charlie-murphy-birth-card
